ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12013480,JD190548,03/19/2020 04:36:00 PM,028XX N RUTHERFORD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,2511,025,36,18,08B,1130929,1918233,2020,03/26/2020 03:47:15 PM,41.931893625,-87.794276094,"(41.931893625, -87.794276094)"
12013589,JD190543,03/19/2020 04:29:00 PM,033XX W 21ST ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1024,010,24,30,08B,1154225,1889843,2020,03/26/2020 03:47:15 PM,41.853554881,-87.709424599,"(41.853554881, -87.709424599)"
12013187,JD190297,03/19/2020 11:00:00 AM,079XX S INGLESIDE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,0624,006,8,44,14,1183941,1852494,2020,03/26/2020 03:47:15 PM,41.750422009,-87.601524389,"(41.750422009, -87.601524389)"
12013559,JD190749,03/19/2020 08:30:00 AM,064XX S JUSTINE ST,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,false,false,0725,007,16,67,26,1167115,1861925,2020,03/26/2020 03:47:15 PM,41.776678107,-87.662913135,"(41.776678107, -87.662913135)"
12013884,JD191042,03/19/2020 09:00:00 PM,095XX S STATE ST,0460,BATTERY,SIMPLE,PARK PROPERTY,false,false,0511,005,9,49,08B,1177973,1841788,2020,03/26/2020 03:47:15 PM,41.721180629,-87.623717187,"(41.721180629, -87.623717187)"
12015740,JD185611,03/11/2020 09:15:00 AM,0000X E SUPERIOR ST,0460,BATTERY,SIMPLE,RESIDENCE - GARAGE,false,false,1834,018,42,8,08B,1176473,1905371,2020,03/26/2020 03:45:12 PM,41.895692026,-87.627298109,"(41.895692026, -87.627298109)"
12013131,JD190145,03/19/2020 07:00:00 AM,018XX S RUBLE ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,GAS STATION,false,false,1235,012,11,31,07,1172099,1891385,2020,03/26/2020 03:47:15 PM,41.857411135,-87.643775367,"(41.857411135, -87.643775367)"
12013918,JD191030,03/19/2020 10:00:00 PM,022XX N MC VICKER AVE,0610,BURGLARY,FORCIBLE ENTRY,CHURCH / SYNAGOGUE / PLACE OF WORSHIP,false,false,2512,025,36,19,05,1135696,1914419,2020,03/26/2020 03:47:15 PM,41.921343993,-87.77684873,"(41.921343993, -87.77684873)"
12016001,JD193533,03/14/2020 12:00:00 AM,018XX W WARNER AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,APARTMENT,false,false,1912,019,47,5,11,1163234,1927587,2020,03/26/2020 03:45:12 PM,41.956942778,-87.675295581,"(41.956942778, -87.675295581)"
12013344,JD190557,03/19/2020 04:00:00 PM,001XX E 75TH ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,0323,003,6,69,06,1178616,1855321,2020,03/26/2020 03:47:15 PM,41.758302246,-87.6209517,"(41.758302246, -87.6209517)"
